# {
#     "changing_threshold": 0.2,
#     "command": "/home/wanglab/anaconda3/envs/voila/bin/voila tsv majiq_splicing/build_simplified/splicegraph.sql majiq_splicing/deltapsi_simplified/ctrl_trt.deltapsi.voila --changing-between-group-dpsi 0.1 --probability-threshold 0.95 -f majiq_splicing/voilaOutput_simplified/3vs3_filtedtbl.tsv",
#     "group_sizes": {
#         "ctrl": 3,
#         "trt": 3
#     },
#     "non_changing_threshold": 0.05,
#     "voila_version": "2.4.dev3+g85d07819"
# }
gene_name	gene_id	lsv_id	mean_dpsi_per_lsv_junction	probability_changing	probability_non_changing	ctrl_mean_psi	trt_mean_psi	lsv_type	num_junctions	num_exons	de_novo_junctions	seqid	strand	junctions_coords	exons_coords	ir_coords	ucsc_lsv_link
TTL	ENSG00000114999.8	ENSG00000114999.8:s:112494143-112494375	0.3970;-0.3970	9.993e-01;9.993e-01	2.268e-10;2.417e-10	0.1763;0.8237	0.5722;0.4278	s|1e1.1o1|1e2.1o2	2	3	1;0	chr2	+	112494375-112496087;112494375-112501206	112494143-112494375;112496087-na;112501206-112501341		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr2%3A112501341-112494143
PRRC2C	ENSG00000117523.18	ENSG00000117523.18:t:171591587-171593511	-0.3768;0.0099;0.3518	9.742e-01;3.098e-05;9.517e-01	1.011e-06;6.514e-04;1.583e-06	0.6689;0.0504;0.2809	0.2838;0.0713;0.6456	t|1e1.1o1|1e2.1o1|1e3.2o3	3	4	0;0;0	chr1	+	171588505-171591587;171589605-171591587;171591204-171591587	171588379-171588505;171589369-171589605;171591152-171591313;171591587-171593511		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr1%3A171593511-171588379
LRRFIP1	ENSG00000124831.19	ENSG00000124831.19:s:237627587-237627740	0.4188;-0.4188	9.957e-01;9.957e-01	1.303e-07;1.304e-07	0.2385;0.7615	0.6557;0.3443	s|1e1.1o1|1e2.1o1	2	3	1;0	chr2	+	237627740-237644711;237627740-237708544	237627587-237627740;237644711-na;237708544-237708630		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr2%3A237708630-237627587
BICDL1	ENSG00000135127.12	ENSG00000135127.12:s:119989236-119990297	0.3774;-0.3774	9.957e-01;9.957e-01	2.248e-08;2.260e-08	0.0475;0.9525	0.4202;0.5798	s|1e1.1o1|1e2.1o1	2	3	0;0	chr12	+	119990297-119992420;119990297-119998521	119989236-119990297;119992420-119993409;119998521-119998736		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr12%3A119998736-119989236
B4GALNT1	ENSG00000135454.14	ENSG00000135454.14:t:57631915-57632133	-0.4326;0.2704;0.1156	9.987e-01;8.276e-01;8.419e-03	1.976e-08;2.128e-06;6.103e-06	0.7482;0.2481;0.0037	0.3243;0.5360;0.1430	t|1e1.1o1|1e2.1o2|1e2.2o2	3	3	0;0;1	chr12	-	57632133-57632772;57632133-57632541;57632133-57632382	57631915-57632133;57632382-57632680;57632772-57633239		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr12%3A57633239-57631915
EPC2	ENSG00000135999.12	ENSG00000135999.12:s:148690214-148690373	0.2427;0.1161;-0.4120	7.647e-01;1.483e-01;9.940e-01	8.586e-07;3.203e-05;2.111e-07	0.0473;0.1755;0.7773	0.3009;0.3305;0.3653	s|1e1.1o2|1e1.2o2|1e2.1o1	3	3	0;0;0	chr2	+	148690373-148691542;148690373-148691621;148690373-148743622	148690214-148690373;148691542-148692833;148743622-148743767		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr2%3A148743767-148690214
KIFC3	ENSG00000140859.16	ENSG00000140859.16:s:57794997-57795141	0.3788;-0.1779;-0.0000;-0.1646	9.997e-01;3.148e-01;5.350e-21;2.773e-01	2.401e-13;8.054e-07;4.751e-01;7.729e-06	0.1165;0.2560;0.0219;0.6049	0.4939;0.0720;0.0063;0.4262	s|1e1.1o1|1e2.1o1|1e3.1o1|1e4.1o1	4	5	0;0;0;0	chr16	-	57791066-57794999;57788713-57794999;57785666-57794999;57772288-57794999	57772223-57772288;57785398-57785666;57788575-57788713;57790930-57791066;57794997-57795141		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr16%3A57795141-57772223
HDAC8	ENSG00000147099.21	ENSG00000147099.21:s:72567889-72568030	0.3584;0.0009;-0.3293;-0.0059	9.783e-01;5.848e-08;9.331e-01;6.340e-06	3.253e-07;3.524e-03;1.694e-06;1.104e-03	0.0395;0.0044;0.9167;0.0395	0.4068;0.0185;0.5712;0.0037	s|1e1.1o1|1e2.1o1|1e3.1o2|1e4.1o2	4	5	0;0;0;0	chrX	-	72567796-72567889;72562474-72567889;72495268-72567889;72464731-72567889	72464668-72464731;72495194-72495268;72562220-72562474;72567582-72567796;72567889-72568030		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chrX%3A72568030-72464668
LTO1	ENSG00000149716.13	ENSG00000149716.13:s:69671378-69671922	0.4031;-0.4031	9.989e-01;9.989e-01	8.086e-10;8.087e-10	0.0303;0.9697	0.4298;0.5702	s|1e1.1o1|1e2.1o1	2	3	1;0	chr11	-	69671216-69671749;69668012-69671749	na-69671216;69667609-69668012;69671378-69671922		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr11%3A69671922-69667609
ZNF28	ENSG00000198538.11	ENSG00000198538.11:s:52817944-52818031	0.2786;-0.3339;0.0103	8.288e-01;9.540e-01;9.848e-07	2.838e-06;4.386e-07;1.596e-03	0.5668;0.4285;0.0046	0.8691;0.0824;0.0491	s|1e1.1o1|1e2.1o1|1e3.1o2	3	4	0;0;0	chr19	-	52814426-52817944;52808133-52817944;52801702-52817944	52797408-52801702;52807876-52808133;52814284-52814426;52817944-52818031		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr19%3A52818031-52797408
LSP1P5	ENSG00000288905.1	ENSG00000288905.1:t:144738997-144739346	-0.3739;0.3739	9.691e-01;9.691e-01	9.589e-07;9.588e-07	0.5905;0.4095	0.2115;0.7885	t|1e1.1o1|1e2.1o1	2	3	0;0	chr1	+	144720690-144738997;144721138-144738997	144720556-144720690;144721061-144721138;144738997-144739346		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr1%3A144739346-144720556
